kind,point_index,minor_r_m,major_r_m,z_m
limiter,152,4.8300705441e-02,1.8983007054e+00,-8.7657768736e-01
limiter,153,6.7083822111e-02,1.9170838221e+00,-8.6842335468e-01
limiter,154,8.5888032014e-02,1.9358880320e+00,-8.5933909252e-01
limiter,155,1.0468841732e-01,1.9546884173e+00,-8.4933462853e-01
limiter,156,1.2345938060e-01,1.9734593806e+00,-8.3842067575e-01
limiter,157,1.4217468869e-01,1.9921746887e+00,-8.2660892112e-01
limiter,158,1.6080752099e-01,2.0108075210e+00,-8.1391201294e-01
limiter,159,1.7933052197e-01,2.0293305220e+00,-8.0034354740e-01
limiter,160,1.9771585790e-01,2.0477158579e+00,-7.8591805393e-01
limiter,161,2.1593527767e-01,2.0659352777e+00,-7.7065097974e-01
limiter,162,2.3396017746e-01,2.0839601775e+00,-7.5455867316e-01
limiter,163,2.5176166921e-01,2.1017616692e+00,-7.3765836627e-01
limiter,164,2.6931065258e-01,2.1193106526e+00,-7.1996815631e-01
limiter,165,2.8657789019e-01,2.1365778902e+00,-7.0150698643e-01
limiter,166,3.0353408586e-01,2.1535340859e+00,-6.8229462529e-01
limiter,167,3.2014996565e-01,2.1701499656e+00,-6.6235164597e-01
limiter,168,3.3639636115e-01,2.1863963611e+00,-6.4169940393e-01
limiter,169,3.5224429496e-01,2.2022442950e+00,-6.2036001409e-01
limiter,170,3.6766506776e-01,2.2176650678e+00,-5.9835632720e-01
limiter,171,3.8263034668e-01,2.2326303467e+00,-5.7571190538e-01
limiter,172,3.9711225457e-01,2.2471122546e+00,-5.5245099683e-01
limiter,173,4.1108345966e-01,2.2610834597e+00,-5.2859850991e-01
limiter,174,4.2451726528e-01,2.2745172653e+00,-5.0417998647e-01
limiter,175,4.3738769905e-01,2.2873876991e+00,-4.7922157447e-01
limiter,176,4.4966960124e-01,2.2996696012e+00,-4.5375000000e-01
limiter,177,4.6133871165e-01,2.3113387116e+00,-4.2779253867e-01
limiter,178,4.7237175472e-01,2.3223717547e+00,-4.0137698637e-01
limiter,179,4.8274652227e-01,2.3327465223e+00,-3.7453162955e-01
limiter,180,4.9244195347e-01,2.3424419535e+00,-3.4728521487e-01
limiter,181,5.0143821154e-01,2.3514382115e+00,-3.1966691849e-01
limiter,182,5.0971675685e-01,2.3597167568e+00,-2.9170631476e-01
limiter,183,5.1726041583e-01,2.3672604158e+00,-2.6343334461e-01
limiter,184,5.2405344544e-01,2.3740534454e+00,-2.3487828343e-01
limiter,185,5.3008159269e-01,2.3800815927e+00,-2.0607170870e-01
limiter,186,5.3533214897e-01,2.3853321490e+00,-1.7704446723e-01
limiter,187,5.3979399876e-01,2.3897939988e+00,-1.4782764211e-01
limiter,188,5.4345766248e-01,2.3934576625e+00,-1.1845251944e-01
limiter,189,5.4631533322e-01,2.3963153332e+00,-8.8950554849e-02
limiter,190,5.4836090710e-01,2.3983609071e+00,-5.9353339776e-02
limiter,191,5.4959000706e-01,2.3995900071e+00,-2.9692567661e-02
wall,0,6.3000000000e-01,2.4800000000e+00,0.0000000000e+00
wall,1,6.2953037173e-01,2.4795303717e+00,3.4011486593e-02
wall,2,6.2812249359e-01,2.4781224936e+00,6.7986552835e-02
wall,3,6.2577938169e-01,2.4757793817e+00,1.0188881737e-01
