r_m,z_m,major_r_m,psi_norm,psi_wb,br_t,bz_t,bphi_t,b_total_t,density_1e19_m3,pressure_pa,temperature_kev,j_phi_a_m2,inside_closed_surface
-8.0250000000e-01,-2.6317500000e-01,1.0475000000e+00,1.0690260532e+00,2.2756378631e-01,4.9604645312e-02,9.7046586161e-03,5.2983293556e+00,5.2985704451e+00,2.1859682280e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-2.3547236842e-01,1.0475000000e+00,1.0625036173e+00,2.2617535409e-01,4.5843900341e-02,9.9087234600e-03,5.2983293556e+00,5.2985369496e+00,2.1884523604e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-2.0776973684e-01,1.0475000000e+00,1.0565271544e+00,2.2490314326e-01,4.1612530958e-02,1.0097017507e-02,5.2983293556e+00,5.2985023840e+00,2.1905235649e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.8006710526e-01,1.0475000000e+00,1.0511583607e+00,2.2376028708e-01,3.6949569848e-02,1.0267359238e-02,5.2983293556e+00,5.2984681418e+00,2.1922151141e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.5236447368e-01,1.0475000000e+00,1.0464532093e+00,2.2275870059e-01,3.1899715937e-02,1.0417740280e-02,5.2983293556e+00,5.2984356259e+00,2.1935646851e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.2466184211e-01,1.0475000000e+00,1.0424612097e+00,2.2190892285e-01,2.6512815201e-02,1.0546372294e-02,5.2983293556e+00,5.2984061864e+00,2.1946115282e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-9.6959210526e-02,1.0475000000e+00,1.0392247451e+00,2.2121997598e-01,2.0843241409e-02,1.0651721660e-02,5.2983293556e+00,5.2983810603e+00,2.1953936126e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-6.9256578947e-02,1.0475000000e+00,1.0367785003e+00,2.2069924337e-01,1.4949201142e-02,1.0732535145e-02,5.2983293556e+00,5.2983613152e+00,2.1959449216e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-4.1553947368e-02,1.0475000000e+00,1.0351489891e+00,2.2035236900e-01,8.8919808247e-03,1.0787858884e-02,5.2983293556e+00,5.2983477996e+00,2.1962930571e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.3851315789e-02,1.0475000000e+00,1.0343541872e+00,2.2018317936e-01,2.7351491981e-03,1.0817051948e-02,5.2983293556e+00,5.2983411036e+00,2.1964573029e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.3851315789e-02,1.0475000000e+00,1.0344032770e+00,2.2019362911e-01,-3.4562734438e-03,1.0819795062e-02,5.2983293556e+00,5.2983415305e+00,2.1964472643e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,4.1553947368e-02,1.0475000000e+00,1.0352965069e+00,2.2038377115e-01,-9.6166686923e-03,1.0796094665e-02,5.2983293556e+00,5.2983490822e+00,2.1962621712e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,6.9256578947e-02,1.0475000000e+00,1.0370251692e+00,2.2075175184e-01,-1.5680685674e-02,1.0746282365e-02,5.2983293556e+00,5.2983634574e+00,2.1958908891e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,9.6959210526e-02,1.0475000000e+00,1.0395716952e+00,2.2129383131e-01,-2.1584108213e-02,1.0671009779e-02,5.2983293556e+00,5.2983840654e+00,2.1953126399e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.2466184211e-01,1.0475000000e+00,1.0429098689e+00,2.2200442901e-01,-2.7264712415e-02,1.0571238711e-02,5.2983293556e+00,5.2984100517e+00,2.1944983917e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.5236447368e-01,1.0475000000e+00,1.0470051570e+00,2.2287619378e-01,-3.2663102872e-02,1.0448226463e-02,5.2983293556e+00,5.2984403370e+00,2.1934128352e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.8006710526e-01,1.0475000000e+00,1.0518151499e+00,2.2390009794e-01,-3.7723514411e-02,1.0303505751e-02,5.2983293556e+00,5.2984736657e+00,2.1920168266e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,2.0776973684e-01,1.0475000000e+00,1.0572901106e+00,2.2506555389e-01,-4.2394563762e-02,1.0138857988e-02,5.2983293556e+00,5.2985086634e+00,2.1902701523e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,2.3547236842e-01,1.0475000000e+00,1.0633736203e+00,2.2636055179e-01,-4.6629930992e-02,9.9562777363e-03,5.2983293556e+00,5.2985438979e+00,2.1881344469e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,2.6317500000e-01,1.0475000000e+00,1.0700033131e+00,2.2777181581e-01,-5.0388943889e-02,9.7579252652e-03,5.2983293556e+00,5.2985779435e+00,2.1855760914e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,2.9087763158e-01,1.0475000000e+00,1.0771116815e+00,2.2928497559e-01,-5.3637031748e-02,9.5460649361e-03,5.2983293556e+00,5.2986094420e+00,2.1825689245e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,3.1858026316e-01,1.0475000000e+00,1.0846269343e+00,2.3088474892e-01,-5.6346014482e-02,9.3229914572e-03,5.2983293556e+00,5.2986371599e+00,2.1790966138e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
