kind,index,major_r_m,z_m,psi_norm,description
lcfs,109,2.5130355782881066,-0.26317499999999994,1.0,exported separatrix contour
lcfs,110,2.516554181491707,-0.23547236842105268,1.0,exported separatrix contour
lcfs,111,2.5168661971830986,-0.23272254898439906,1.0,exported separatrix contour
lcfs,112,2.519616060700159,-0.2077697368421052,1.0,exported separatrix contour
lcfs,113,2.5222390763374136,-0.18006710526315772,1.0,exported separatrix contour
lcfs,114,2.5244449752163174,-0.15236447368421047,1.0,exported separatrix contour
lcfs,115,2.5262544516526044,-0.12466184210526321,1.0,exported separatrix contour
lcfs,116,2.5276859497597295,-0.09695921052631573,1.0,exported separatrix contour
lcfs,117,2.528755061091405,-0.06925657894736825,1.0,exported separatrix contour
lcfs,118,2.529473924898894,-0.041553947368420996,1.0,exported separatrix contour
lcfs,119,2.529850860283084,-0.01385131578947374,1.0,exported separatrix contour
lcfs,120,2.5298901912247103,0.01385131578947374,1.0,exported separatrix contour
lcfs,121,2.52959218604328,0.04155394736842122,1.0,exported separatrix contour
lcfs,122,2.528953065614819,0.06925657894736847,1.0,exported separatrix contour
lcfs,123,2.527965080298498,0.09695921052631573,1.0,exported separatrix contour
lcfs,124,2.526616700458113,0.12466184210526321,1.0,exported separatrix contour
lcfs,125,2.524892996200613,0.1523644736842107,1.0,exported separatrix contour
lcfs,126,2.522776240081849,0.18006710526315794,1.0,exported separatrix contour
lcfs,127,2.5202465003544616,0.2077697368421052,1.0,exported separatrix contour
lcfs,128,2.5172813923229964,0.23547236842105268,1.0,exported separatrix contour
lcfs,129,2.5168661971830986,0.23893928205360998,1.0,exported separatrix contour
lcfs,130,2.51386564651214,0.26317500000000016,1.0,exported separatrix contour
lcfs,131,2.5099521166735563,0.2908776315789474,1.0,exported separatrix contour
lcfs,132,2.505498725132588,0.31858026315789467,1.0,exported separatrix contour
lcfs,133,2.500459955985707,0.34628289473684215,1.0,exported separatrix contour
lcfs,134,2.494784209067811,0.37398552631578963,1.0,exported separatrix contour
lcfs,135,2.4942605633802817,0.3763858252834252,1.0,exported separatrix contour
lcfs,136,2.4884126102446382,0.4016881578947369,1.0,exported separatrix contour
lcfs,137,2.481258669117895,0.42939078947368414,1.0,exported separatrix contour
lcfs,138,2.473238604296453,0.4570934210526316,1.0,exported separatrix contour
lcfs,139,2.471654929577465,0.46226623606661604,1.0,exported separatrix contour
lcfs,140,2.4642312684774166,0.4847960526315791,1.0,exported separatrix contour
lcfs,141,2.454111509238665,0.5124986842105264,1.0,exported separatrix contour
lcfs,142,2.449049295774648,0.5253775224602346,1.0,exported separatrix contour
lcfs,143,2.4427040732405345,0.5402013157894736,1.0,exported separatrix contour
lcfs,144,2.4298129113311835,0.5679039473684211,1.0,exported separatrix contour
lcfs,145,2.426443661971831,0.5747621201073537,1.0,exported separatrix contour
lcfs,146,2.415147300355938,0.5956065789473686,1.0,exported separatrix contour
lcfs,147,2.403838028169014,0.614961738810846,1.0,exported separatrix contour
lcfs,148,2.3984117400276834,0.6233092105263158,1.0,exported separatrix contour
lcfs,149,2.3812323943661973,0.6483178150742892,1.0,exported separatrix contour
lcfs,150,2.3791541102551355,0.6510118421052631,1.0,exported separatrix contour
lcfs,151,2.3586267605633804,0.676643953220118,1.0,exported separatrix contour
lcfs,152,2.356745337363029,0.6787144736842106,1.0,exported separatrix contour
lcfs,153,2.3360211267605635,0.701039495527352,1.0,exported separatrix contour
lcfs,154,2.3302924974108916,0.706417105263158,1.0,exported separatrix contour
lcfs,155,2.3134154929577466,0.7221547357959788,1.0,exported separatrix contour
lcfs,156,2.2985047016010536,0.7341197368421055,1.0,exported separatrix contour
lcfs,157,2.2908098591549297,0.7403381374618302,1.0,exported separatrix contour
lcfs,158,2.268204225352113,0.7562487494416025,1.0,exported separatrix contour
lcfs,159,2.259025595543647,0.7618223684210526,1.0,exported separatrix contour
lcfs,160,2.245598591549296,0.7702005213700321,1.0,exported separatrix contour
lcfs,161,2.222992957746479,0.7822746883064674,1.0,exported separatrix contour
lcfs,162,2.2069426849775517,0.789525,1.0,exported separatrix contour
lcfs,163,2.200387323943662,0.7926249827862034,1.0,exported separatrix contour
lcfs,164,2.1777816901408453,0.8018455238112515,1.0,exported separatrix contour
lcfs,165,2.1551760563380284,0.8094561767659075,1.0,exported separatrix contour
lcfs,166,2.1325704225352116,0.815658805945037,1.0,exported separatrix contour
lcfs,167,2.125556135148294,0.8172276315789475,1.0,exported separatrix contour
lcfs,168,2.1099647887323947,0.8209853671069309,1.0,exported separatrix contour
lcfs,169,2.087359154929578,0.8252370641561508,1.0,exported separatrix contour
lcfs,170,2.064753521126761,0.8283406778441127,1.0,exported separatrix contour
lcfs,171,2.0421478873239436,0.8303678750792892,1.0,exported separatrix contour
lcfs,172,2.0195422535211267,0.8313661252860334,1.0,exported separatrix contour
