kind,minor_r_m,major_r_m,z_m,psi_norm,psi_wb
lcfs,3.4417705075e-01,2.1941770507e+00,-7.8952500000e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.5038732394e-01,2.2003873239e+00,-7.8708563939e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.7299295775e-01,2.2229929577e+00,-7.7676628586e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.9559859155e-01,2.2455985915e+00,-7.6440532794e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.9975477752e-01,2.2497547775e+00,-7.6182236842e-01,1.0000000000e+00,2.1287019677e-01
lcfs,4.1820422535e-01,2.2682042254e+00,-7.5066971520e-01,1.0000000000e+00,2.1287019677e-01
lcfs,4.4080985915e-01,2.2908098592e+00,-7.3443063507e-01,1.0000000000e+00,2.1287019677e-01
lcfs,4.4119659932e-01,2.2911965993e+00,-7.3411973684e-01,1.0000000000e+00,2.1287019677e-01
lcfs,4.6341549296e-01,2.3134154930e+00,-7.1639416232e-01,1.0000000000e+00,2.1287019677e-01
lcfs,4.7417429235e-01,2.3241742923e+00,-7.0641710526e-01,1.0000000000e+00,2.1287019677e-01
lcfs,4.8602112676e-01,2.3360211268e+00,-6.9536463869e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.0156606312e-01,2.3515660631e+00,-6.7871447368e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.0862676056e-01,2.3586267606e+00,-6.7099376740e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.2472271998e-01,2.3747227200e+00,-6.5101184211e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.3123239437e-01,2.3812323944e+00,-6.4262882210e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.4458219128e-01,2.3945821913e+00,-6.2330921053e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.5383802817e-01,2.4038380282e+00,-6.0916573601e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.6180789875e-01,2.4118078987e+00,-5.9560657895e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.7644366197e-01,2.4264436620e+00,-5.6878368731e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.7687845737e-01,2.4268784574e+00,-5.6790394737e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.9009223529e-01,2.4400922353e+00,-5.4020131579e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.9904929577e-01,2.4490492958e+00,-5.1943280233e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.0179312567e-01,2.4517931257e+00,-5.1249868421e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.1215730700e-01,2.4621573070e+00,-4.8479605263e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.2138537444e-01,2.4713853744e+00,-4.5709342105e-01,1.0000000000e+00,2.1287019677e-01
