index,major_r_m,z_m
139,2.471654929577465,0.46226623606661604
140,2.4642312684774166,0.4847960526315791
141,2.454111509238665,0.5124986842105264
142,2.449049295774648,0.5253775224602346
143,2.4427040732405345,0.5402013157894736
144,2.4298129113311835,0.5679039473684211
145,2.426443661971831,0.5747621201073537
146,2.415147300355938,0.5956065789473686
147,2.403838028169014,0.614961738810846
148,2.3984117400276834,0.6233092105263158
149,2.3812323943661973,0.6483178150742892
150,2.3791541102551355,0.6510118421052631
151,2.3586267605633804,0.676643953220118
152,2.356745337363029,0.6787144736842106
153,2.3360211267605635,0.701039495527352
154,2.3302924974108916,0.706417105263158
155,2.3134154929577466,0.7221547357959788
156,2.2985047016010536,0.7341197368421055
157,2.2908098591549297,0.7403381374618302
158,2.268204225352113,0.7562487494416025
159,2.259025595543647,0.7618223684210526
160,2.245598591549296,0.7702005213700321
161,2.222992957746479,0.7822746883064674
162,2.2069426849775517,0.789525
163,2.200387323943662,0.7926249827862034
164,2.1777816901408453,0.8018455238112515
165,2.1551760563380284,0.8094561767659075
166,2.1325704225352116,0.815658805945037
167,2.125556135148294,0.8172276315789475
168,2.1099647887323947,0.8209853671069309
169,2.087359154929578,0.8252370641561508
170,2.064753521126761,0.8283406778441127
171,2.0421478873239436,0.8303678750792892
172,2.0195422535211267,0.8313661252860334
173,1.9969366197183098,0.831377264391272
174,1.974330985915493,0.8304127306312095
175,1.951725352112676,0.8284809926097741
176,1.9291197183098592,0.8255734571396632
177,1.9065140845070423,0.8216662660145887
178,1.886183992803985,0.8172276315789475
179,1.8839084507042254,0.8167725570225804
180,1.8613028169014085,0.8113442439706732
181,1.8386971830985916,0.8048678516646596
182,1.8160915492957748,0.7972658389748524
183,1.7961630932066996,0.789525
184,1.7934859154929579,0.788551078671281
185,1.770880281690141,0.779374513382156
186,1.7482746478873241,0.7688864773331595
187,1.7346417998210484,0.7618223684210526
188,1.7256690140845072,0.7573943001094597
189,1.7030633802816904,0.745089666125251
190,1.685025652492167,0.7341197368421055
191,1.6804577464788732,0.7314401942852403
192,1.6578521126760564,0.7170970558522634
193,1.642585555566414,0.706417105263158
194,1.6352464788732395,0.7014047859840911
195,1.6126408450704226,0.6847395500997562
196,1.6050278911082825,0.6787144736842106
197,1.5900352112676057,0.6669975536446452
198,1.5711273302903621,0.6510118421052631
199,1.5674295774647888,0.6478969479621834
200,1.544823943661972,0.6277873249809766
201,1.5400421784724085,0.6233092105263158
202,1.522218309859155,0.6065052703359891
203,1.5112414836393837,0.5956065789473686
204,1.499612676056338,0.5838837303738487
205,1.4844119510919827,0.5679039473684211
206,1.477007042253521,0.5599337392420877
207,1.4592534474359824,0.5402013157894736
208,1.4544014084507042,0.5346338213912707
209,1.4355361040406636,0.5124986842105264
210,1.4317957746478873,0.5079305785671168
211,1.4130875027003935,0.4847960526315791
212,1.4091901408450704,0.4797383090383754
213,1.3917832992458392,0.4570934210526316
214,1.3865845070422536,0.44993745343912595
215,1.3715411334733985,0.42939078947368414
216,1.3639788732394367,0.4183715090037452
217,1.3523177829412683,0.4016881578947369
218,1.3413732394366198,0.38484150263023936
219,1.334109986228368,0.37398552631578963
220,1.318767605633803,0.3490947900404645
221,1.3169608509466924,0.34628289473684215
222,1.3005006199936733,0.31858026315789467
223,1.296161971830986,0.310530782059225
224,1.2849291752418743,0.2908776315789474
225,1.2735563380281691,0.2686077447084202
226,1.2705725164909083,0.26317500000000016
227,1.2569267894048786,0.23547236842105268
228,1.2509507042253523,0.22160368830052135
229,1.2444058844468833,0.2077697368421052
230,1.2330689425202905,0.18006710526315794
231,1.2283450704225354,0.1664408508808146
232,1.222865737616788,0.1523644736842107
233,1.2139469583017661,0.12466184210526321
234,1.206912459580478,0.09695921052631573
235,1.2057394366197185,0.09079369273208923
236,1.2010000971563273,0.06925657894736847
237,1.196934266043335,0.04155394736842122
238,1.194870721828511,0.01385131578947374
